simTime,road,direction,total_cumulative,active,slowing,stopped
760.0,"Childrens Way",inbound,1,1,0,0
835.0,"Childrens Way",inbound,1,0,0,0
835.0,"Christopher Road",inbound,1,1,0,0
835.0,"Dreyersdal Road",inbound,1,0,0,0
910.0,"Childrens Way",inbound,1,0,0,0
910.0,"Christopher Road",inbound,1,0,0,0
910.0,"Vineyard Road",inbound,1,0,0,0
910.0,"Leyden Road",inbound,1,0,0,1
910.0,"Dreyersdal Road",inbound,1,0,0,0
990.0,"Childrens Way",inbound,1,0,0,0
990.0,"Christopher Road",inbound,1,0,0,0
990.0,"Vineyard Road",inbound,1,0,0,0
990.0,"Leyden Road",inbound,1,0,0,0
990.0,"Dreyersdal Road",inbound,1,0,0,0
990.0,"Tokai High School Internal Road",inbound,1,0,0,0
990.0,"Tokai High School Internal Road",outbound,1,1,0,0
1065.0,"Childrens Way",inbound,1,0,0,0
1065.0,"Christopher Road",inbound,1,0,0,0
1065.0,"Ruskin Road",outbound,1,1,0,0
1065.0,"Vineyard Road",inbound,1,0,0,0
1065.0,"Aristea Road",outbound,1,0,0,0
1065.0,"Leyden Road",inbound,1,0,0,0
1065.0,"Dreyersdal Road",inbound,2,1,0,0
1065.0,"Tokai High School Internal Road",inbound,1,0,0,0
1065.0,"Tokai High School Internal Road",outbound,1,0,0,0
1065.0,"Homestead Avenue",inbound,1,0,0,0
1140.0,"Childrens Way",inbound,2,0,0,0
1140.0,"Starke Road",outbound,1,1,0,0
1140.0,"Christopher Road",inbound,2,1,0,0
1140.0,"Christopher Road",outbound,1,0,0,0
1140.0,"Ruskin Road",outbound,1,0,0,0
1140.0,"Vineyard Road",inbound,1,0,0,0
1140.0,"Vineyard Road",outbound,1,0,0,0
1140.0,"Aristea Road",outbound,1,0,0,0
1140.0,"Dante Road",outbound,1,0,0,0
1140.0,"Leyden Road",inbound,1,0,0,0
1140.0,"Dreyersdal Road",inbound,3,1,0,0
1140.0,"Tokai High School Internal Road",inbound,1,0,0,0
1140.0,"Tokai High School Internal Road",outbound,1,0,0,0
1140.0,"Homestead Avenue",inbound,1,0,0,0
1215.0,"Childrens Way",inbound,2,0,0,0
1215.0,"Starke Road",outbound,1,1,0,0
1215.0,"Christopher Road",inbound,3,0,0,0
1215.0,"Christopher Road",outbound,1,0,0,0
1215.0,"Ruskin Road",outbound,1,0,0,0
1215.0,"Vineyard Road",inbound,3,1,0,0
1215.0,"Vineyard Road",outbound,1,0,0,0
1215.0,"Aristea Road",outbound,1,0,0,0
1215.0,"Dante Road",outbound,1,0,0,0
1215.0,"Leyden Road",inbound,2,0,0,1
1215.0,"Dreyersdal Road",inbound,3,0,0,0
1215.0,"Tokai High School Internal Road",inbound,1,0,0,0
1215.0,"Tokai High School Internal Road",outbound,1,0,0,0
1215.0,"Homestead Avenue",inbound,1,0,0,0
1290.0,"Childrens Way",inbound,3,1,0,0
1290.0,"Starke Road",outbound,1,0,0,0
1290.0,"Christopher Road",inbound,3,0,0,0
1290.0,"Christopher Road",outbound,1,0,0,0
1290.0,"Ruskin Road",outbound,1,0,0,0
1290.0,"Vineyard Road",inbound,3,0,0,0
1290.0,"Vineyard Road",outbound,1,0,0,0
1290.0,"Aristea Road",outbound,1,0,0,0
1290.0,"Dante Road",outbound,1,0,0,0
1290.0,"Leyden Road",inbound,3,0,0,0
1290.0,"Dreyersdal Road",inbound,3,0,0,0
1290.0,"Firgrove Way Service Road",outbound,1,0,0,0
1290.0,"Tokai High School Internal Road",inbound,3,0,0,1
1290.0,"Tokai High School Internal Road",outbound,3,1,0,0
1290.0,"Homestead Avenue",inbound,1,0,0,0
1365.0,"Childrens Way",inbound,3,0,0,0
1365.0,"Starke Road",outbound,1,0,0,0
1365.0,"Christopher Road",inbound,3,0,0,0
1365.0,"Christopher Road",outbound,1,0,0,0
1365.0,"Ruskin Road",outbound,2,1,0,0
1365.0,"Vineyard Road",inbound,3,0,0,0
1365.0,"Vineyard Road",outbound,1,0,0,0
1365.0,"Aristea Road",outbound,3,1,0,0
1365.0,"Dante Road",outbound,1,0,0,0
1365.0,"Leyden Road",inbound,3,0,0,0
1365.0,"Dreyersdal Road",inbound,5,3,0,0
1365.0,"Firgrove Way Service Road",outbound,1,0,0,0
1365.0,"Tokai High School Internal Road",inbound,3,0,0,0
1365.0,"Tokai High School Internal Road",outbound,3,0,0,0
1365.0,"Homestead Avenue",inbound,1,0,0,0
1445.0,"Childrens Way",inbound,4,1,0,0
