simTime,id,state,routeId,corridorId,pos,v_ms,jIdx,holdUntil,event,detail
2260.0,9,dwell,EG-C,2B,0.0741,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
2270.0,14,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
2270.0,14,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2295.0,10,inbound,2A,2A,1.0009,0.00,5,—,DELAY_START,"jIdx=5"
2300.0,15,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
2300.0,8,dwell,EG-C,1A-NORTH,0.0888,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
2300.0,15,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2305.0,9,outbound,EG-C,2B,0.0741,0.00,0,—,OUTBOUND_START,""
2305.0,9,outbound,EG-C,2B,0.0741,0.00,0,—,DELAY_START,"jIdx=0"
2315.0,11,inbound,2B,2B,1.0007,0.00,6,—,DELAY_START,"jIdx=6"
2330.0,10,dwell,EG-A,2A,0.0938,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
2335.0,16,inbound,1A-NORTH,1A-NORTH,0.0000,0.00,0,—,SPAWN,"route=1A-NORTH"
2335.0,16,inbound,1A-NORTH,1A-NORTH,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2345.0,8,outbound,EG-C,1A-NORTH,0.0888,0.00,0,—,OUTBOUND_START,""
2345.0,8,outbound,EG-C,1A-NORTH,0.0888,0.00,0,—,DELAY_START,"jIdx=0"
2345.0,11,dwell,EG-D,2B,0.0487,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
2365.0,17,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
2365.0,17,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2375.0,10,outbound,EG-A,2A,0.0938,0.00,0,—,OUTBOUND_START,""
2375.0,10,outbound,EG-A,2A,0.0938,0.00,0,—,DELAY_START,"jIdx=0"
2380.0,7,outbound,EG-A,2B,1.0000,0.00,8,2400.0,DELAY_START,"jIdx=8"
2390.0,18,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
2390.0,11,outbound,EG-D,2B,0.0487,0.00,0,—,OUTBOUND_START,""
2390.0,11,outbound,EG-D,2B,0.0487,0.00,0,—,DELAY_START,"jIdx=0"
2390.0,18,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2395.0,13,inbound,2B,2B,1.0013,0.00,6,—,DELAY_START,"jIdx=6"
2425.0,19,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
2425.0,12,inbound,1A,1A,1.0007,0.00,6,—,DELAY_START,"jIdx=6"
2425.0,19,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2430.0,20,inbound,1A,1A,0.0000,0.00,0,—,SPAWN,"route=1A"
2430.0,20,inbound,1A,1A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2435.0,13,dwell,EG-E,2B,0.0888,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
2445.0,14,inbound,2A,2A,1.0002,0.00,5,—,DELAY_START,"jIdx=5"
2450.0,12,dwell,EG-A,1A,0.0569,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
2465.0,15,inbound,2B,2B,1.0007,0.00,6,—,DELAY_START,"jIdx=6"
2480.0,21,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
2480.0,13,outbound,EG-E,2B,0.0888,0.00,0,—,OUTBOUND_START,""
2480.0,13,outbound,EG-E,2B,0.0888,0.00,0,—,DELAY_START,"jIdx=0"
2480.0,14,dwell,EG-A,2A,0.0945,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
2480.0,21,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2490.0,22,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
2490.0,15,dwell,EG-E,2B,0.0445,0.00,0,—,DWELL_START,"onSite=2/98 onStreet=0/22"
2490.0,22,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2495.0,12,outbound,EG-A,1A,0.0569,0.00,0,—,OUTBOUND_START,""
2495.0,12,outbound,EG-A,1A,0.0569,0.00,0,—,DELAY_START,"jIdx=0"
2515.0,18,inbound,2A,2A,0.6903,0.00,3,2512.5,DELAY_START,"jIdx=3"
2525.0,14,outbound,EG-A,2A,0.0945,0.00,0,—,OUTBOUND_START,""
2525.0,14,outbound,EG-A,2A,0.0945,0.00,0,—,DELAY_START,"jIdx=0"
2530.0,23,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
2530.0,17,inbound,2B,2B,1.0000,0.00,6,—,DELAY_START,"jIdx=6"
2530.0,23,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2535.0,15,outbound,EG-E,2B,0.0445,0.00,0,—,OUTBOUND_START,""
2535.0,15,outbound,EG-E,2B,0.0445,0.00,0,—,DELAY_START,"jIdx=0"
2560.0,10,outbound,EG-A,2A,1.0000,0.00,8,2580.0,DELAY_START,"jIdx=8"
2565.0,24,inbound,1A-NORTH,1A-NORTH,0.0000,0.00,0,—,SPAWN,"route=1A-NORTH"
2565.0,24,inbound,1A-NORTH,1A-NORTH,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2570.0,17,dwell,EG-D,2B,0.0721,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
2575.0,25,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
2575.0,18,inbound,2A,2A,1.0012,0.00,5,—,DELAY_START,"jIdx=5"
2575.0,25,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2580.0,26,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
2580.0,19,inbound,2B,2B,0.9277,0.00,5,—,DELAY_START,"jIdx=5"
2580.0,26,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2595.0,27,inbound,1A,1A,0.0000,0.00,0,—,SPAWN,"route=1A"
2595.0,20,inbound,1A,1A,0.7553,0.00,4,2592.5,DELAY_START,"jIdx=4"
2595.0,27,inbound,1A,1A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2600.0,19,inbound,2B,2B,1.0015,0.00,6,—,DELAY_START,"jIdx=6"
2615.0,17,outbound,EG-D,2B,0.0721,0.00,0,—,OUTBOUND_START,""
2615.0,17,outbound,EG-D,2B,0.0721,0.00,0,—,DELAY_START,"jIdx=0"
2620.0,28,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
2620.0,18,dwell,EG-B,2A,0.1037,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
2620.0,28,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2625.0,16,inbound,1A-NORTH,1A-NORTH,1.0005,0.00,5,—,DELAY_START,"jIdx=5"
2645.0,19,dwell,EG-B,2B,0.1030,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
2655.0,20,inbound,1A,1A,1.0006,0.00,6,—,DELAY_START,"jIdx=6"
2660.0,29,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
2660.0,30,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
2660.0,16,dwell,EG-A,1A-NORTH,0.0944,0.00,0,—,DWELL_START,"onSite=2/98 onStreet=0/22"
2660.0,29,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2660.0,30,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2665.0,18,outbound,EG-B,2A,0.1037,0.00,0,—,OUTBOUND_START,""
2665.0,18,outbound,EG-B,2A,0.1037,0.00,0,—,DELAY_START,"jIdx=0"
2665.0,21,inbound,2B,2B,1.0002,0.00,6,—,DELAY_START,"jIdx=6"
2675.0,22,inbound,2A,2A,1.0003,0.00,5,—,DELAY_START,"jIdx=5"
2685.0,31,inbound,3A,3A,0.0000,0.00,0,—,SPAWN,"route=3A"
2685.0,20,dwell,EG-B,1A,0.0593,0.00,0,—,DWELL_START,"onSite=2/98 onStreet=0/22"
2685.0,31,inbound,3A,3A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2690.0,12,outbound,EG-A,1A,1.0000,0.00,8,2700.0,DELAY_START,"jIdx=8"
2690.0,19,outbound,EG-B,2B,0.1030,0.00,0,—,OUTBOUND_START,""
2690.0,19,outbound,EG-B,2B,0.1030,0.00,0,—,DELAY_START,"jIdx=0"
2690.0,21,dwell,EG-A,2B,0.0569,0.00,0,—,DWELL_START,"onSite=2/98 onStreet=0/22"
2695.0,23,inbound,2B,2B,1.0007,0.00,6,—,DELAY_START,"jIdx=6"
2695.0,30,inbound,2B,2B,0.1638,0.00,0,2694.0,DELAY_START,"jIdx=0"
2695.0,30,inbound,2B-RR3,2B,0.1360,0.00,0,2694.0,RAT_RUN_DIVERGE,"switched to 2B-RR3"
2700.0,32,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
2700.0,32,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2705.0,16,outbound,EG-A,1A-NORTH,0.0944,0.00,0,—,OUTBOUND_START,""
2705.0,16,outbound,EG-A,1A-NORTH,0.0944,0.00,0,—,DELAY_START,"jIdx=0"
2710.0,22,dwell,EG-B,2A,0.0696,0.00,0,—,DWELL_START,"onSite=2/98 onStreet=0/22"
2730.0,33,inbound,1A,1A,0.0000,0.00,0,—,SPAWN,"route=1A"
2730.0,20,outbound,EG-B,1A,0.0593,0.00,0,—,OUTBOUND_START,""
2730.0,20,outbound,EG-B,1A,0.0593,0.00,0,—,DELAY_START,"jIdx=0"
2730.0,23,dwell,EG-A,2B,0.0938,0.00,0,—,DWELL_START,"onSite=2/98 onStreet=0/22"
2730.0,33,inbound,1A,1A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
2735.0,34,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
2735.0,21,outbound,EG-A,2B,0.0569,0.00,0,—,OUTBOUND_START,""
2735.0,21,outbound,EG-A,2B,0.0569,0.00,0,—,DELAY_START,"jIdx=0"
