simTime,road,direction,total_cumulative,active,slowing,stopped
552.5,"Childrens Way",inbound,1,0,0,0
552.5,"Dreyersdal Road",inbound,1,1,0,0
627.5,"Childrens Way",inbound,1,0,0,0
627.5,"Christopher Road",inbound,1,0,0,0
627.5,"Vineyard Road",inbound,1,1,0,0
627.5,"Dreyersdal Road",inbound,1,0,0,0
707.5,"Childrens Way",inbound,1,0,0,0
707.5,"Christopher Road",inbound,1,0,0,0
707.5,"Vineyard Road",inbound,1,0,0,0
707.5,"Leyden Road",inbound,1,0,0,0
707.5,"Dreyersdal Road",inbound,1,0,0,0
707.5,"Tokai High School Internal Road",outbound,1,1,0,0
782.5,"Childrens Way",inbound,1,0,0,0
782.5,"Christopher Road",inbound,1,0,0,0
782.5,"Vineyard Road",inbound,1,0,0,0
782.5,"Leyden Road",inbound,1,0,0,0
782.5,"Dreyersdal Road",inbound,1,0,0,0
782.5,"Tokai High School Internal Road",inbound,1,0,0,0
782.5,"Tokai High School Internal Road",outbound,1,1,0,0
782.5,"Homestead Avenue",inbound,1,1,0,0
857.5,"Childrens Way",inbound,2,0,0,0
857.5,"Christopher Road",inbound,1,0,0,0
857.5,"Ruskin Road",outbound,1,0,0,0
857.5,"Vineyard Road",inbound,1,0,0,0
857.5,"Vineyard Road",outbound,1,1,0,0
857.5,"Aristea Road",outbound,1,0,0,0
857.5,"Dante Road",outbound,1,0,0,0
857.5,"Leyden Road",inbound,1,0,0,0
857.5,"Dreyersdal Road",inbound,3,2,0,0
857.5,"Tokai High School Internal Road",inbound,1,0,0,0
857.5,"Tokai High School Internal Road",outbound,1,0,0,0
857.5,"Homestead Avenue",inbound,1,0,0,0
937.5,"Childrens Way",inbound,2,0,0,0
937.5,"Starke Road",outbound,1,1,0,0
937.5,"Christopher Road",inbound,3,0,0,0
937.5,"Christopher Road",outbound,1,0,0,0
937.5,"Ruskin Road",outbound,1,0,0,0
937.5,"Vineyard Road",inbound,3,2,0,0
937.5,"Vineyard Road",outbound,1,0,0,0
937.5,"Aristea Road",outbound,1,0,0,0
937.5,"Dante Road",outbound,1,0,0,0
937.5,"Leyden Road",inbound,2,1,0,0
937.5,"Dreyersdal Road",inbound,3,0,0,0
937.5,"Tokai High School Internal Road",inbound,1,0,0,0
937.5,"Tokai High School Internal Road",outbound,1,0,0,0
937.5,"Homestead Avenue",inbound,1,0,0,0
1017.5,"Childrens Way",inbound,2,0,0,0
1017.5,"Starke Road",outbound,1,0,0,0
1017.5,"Christopher Road",inbound,3,0,0,0
1017.5,"Christopher Road",outbound,1,0,0,0
1017.5,"Ruskin Road",outbound,1,0,0,0
1017.5,"Vineyard Road",inbound,3,0,0,0
1017.5,"Vineyard Road",outbound,1,0,0,0
1017.5,"Aristea Road",outbound,1,0,0,0
1017.5,"Dante Road",outbound,1,0,0,0
1017.5,"Leyden Road",inbound,3,0,0,0
1017.5,"Dreyersdal Road",inbound,3,0,0,0
1017.5,"Firgrove Way Service Road",outbound,1,1,0,0
1017.5,"Tokai High School Internal Road",inbound,3,0,0,2
1017.5,"Tokai High School Internal Road",outbound,3,0,0,0
1017.5,"Homestead Avenue",inbound,1,0,0,0
1097.5,"Childrens Way",inbound,3,0,0,0
1097.5,"Starke Road",outbound,1,0,0,0
1097.5,"Christopher Road",inbound,3,0,0,0
1097.5,"Christopher Road",outbound,1,0,0,0
1097.5,"Ruskin Road",outbound,1,0,0,0
1097.5,"Vineyard Road",inbound,3,0,0,0
1097.5,"Vineyard Road",outbound,1,0,0,0
1097.5,"Aristea Road",outbound,3,2,0,0
1097.5,"Dante Road",outbound,1,0,0,0
1097.5,"Leyden Road",inbound,3,0,0,0
1097.5,"Dreyersdal Road",inbound,5,2,0,0
1097.5,"Firgrove Way Service Road",outbound,1,0,0,0
1097.5,"Tokai High School Internal Road",inbound,3,0,0,0
1097.5,"Tokai High School Internal Road",outbound,3,0,0,0
1097.5,"Homestead Avenue",inbound,1,0,0,0
1172.5,"Childrens Way",inbound,3,0,0,0
1172.5,"Starke Road",outbound,3,3,0,0
1172.5,"Christopher Road",inbound,4,0,0,0
1172.5,"Christopher Road",outbound,3,0,0,0
1172.5,"Ruskin Road",outbound,3,0,0,0
1172.5,"Vineyard Road",inbound,4,0,0,0
1172.5,"Vineyard Road",outbound,3,0,0,0
1172.5,"Aristea Road",outbound,3,0,0,0
1172.5,"Dante Road",outbound,3,0,0,0
1172.5,"Leyden Road",inbound,4,1,0,0
1172.5,"Dreyersdal Road",inbound,5,1,0,0
1172.5,"Firgrove Way Service Road",outbound,1,0,0,0
1172.5,"Tokai High School Internal Road",inbound,3,0,0,0
1172.5,"Tokai High School Internal Road",outbound,3,0,0,0
1172.5,"Homestead Avenue",inbound,2,1,0,0
1247.5,"Childrens Way",inbound,4,0,0,0
1247.5,"Starke Road",outbound,3,1,0,0
1247.5,"Christopher Road",inbound,5,0,0,0
1247.5,"Christopher Road",outbound,3,0,0,0
1247.5,"Ruskin Road",outbound,3,0,0,0
1247.5,"Vineyard Road",inbound,5,1,0,0
1247.5,"Vineyard Road",outbound,3,0,0,0
1247.5,"Aristea Road",outbound,3,0,0,0
1247.5,"Dante Road",outbound,3,0,0,0
1247.5,"Leyden Road",inbound,4,0,0,0
1247.5,"Dreyersdal Road",inbound,8,3,0,0
1247.5,"Firgrove Way Service Road",outbound,1,0,0,0
1247.5,"Tokai High School Internal Road",inbound,4,0,0,1
1247.5,"Tokai High School Internal Road",outbound,4,0,0,0
1247.5,"Homestead Avenue",inbound,2,0,0,0
1247.5,"Homestead Avenue",outbound,1,1,0,0
1327.5,"Childrens Way",inbound,4,0,0,0
1327.5,"Starke Road",outbound,3,0,0,0
1327.5,"Christopher Road",inbound,7,0,0,0
1327.5,"Christopher Road",outbound,3,0,0,0
1327.5,"Ruskin Road",outbound,3,0,0,0
1327.5,"Vineyard Road",inbound,7,1,0,0
1327.5,"Vineyard Road",outbound,3,0,0,0
1327.5,"Aristea Road",outbound,4,1,0,0
1327.5,"Dante Road",outbound,3,0,0,0
