metric,idm,sumo,uxsim
scenario,M,M,M
trips_spawned,432,382,N/A
trips_completed,432,382,N/A
completion_rate_pct,100.0,100.0,N/A
trip_mean_s,819.8,1407.2,470.9
trip_median_s,785.0,1100.5,N/A
trip_p85_s,1151.7,2343.7,N/A
trip_p95_s,1260.0,3085.0,N/A
delay_mean_s,400.2,851.9,50.9
delay_ratio_pct,95.3,202.8,N/A
stopped_time_mean_s,400.2,542.4,N/A
peak_congestion_clock,8:08 AM,8:13 AM,7:55 AM
peak_vehicles_on_net,N/A,N/A,165
vehicles_at_end,N/A,0,0
clears_by_end,N/A,N/A,True
