simTime,id,state,routeId,corridorId,pos,v_ms,jIdx,holdUntil,event,detail
752.5,1,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
752.5,1,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
917.5,1,inbound,2B,2B,1.0001,0.00,6,—,DELAY_START,"jIdx=6"
937.5,1,dwell,EG-A,2B,0.0382,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
982.5,1,outbound,EG-A,2B,0.0382,0.00,0,—,OUTBOUND_START,""
982.5,1,outbound,EG-A,2B,0.0382,0.00,0,—,DELAY_START,"jIdx=0"
1037.5,2,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
1037.5,2,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1072.5,3,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1072.5,3,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1182.5,1,outbound,EG-A,2B,1.0000,0.00,8,1200.0,DELAY_START,"jIdx=8"
1212.5,2,inbound,2A,2A,1.0004,0.00,5,—,DELAY_START,"jIdx=5"
1237.5,3,inbound,2B,2B,1.0014,0.00,6,—,DELAY_START,"jIdx=6"
1257.5,2,dwell,EG-C,2A,0.1036,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1257.5,3,dwell,EG-D,2B,0.0246,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
1282.5,4,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1282.5,4,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1302.5,2,outbound,EG-C,2A,0.1036,0.00,0,—,OUTBOUND_START,""
1302.5,2,outbound,EG-C,2A,0.1036,0.00,0,—,DELAY_START,"jIdx=0"
1302.5,3,outbound,EG-D,2B,0.0246,0.00,0,—,OUTBOUND_START,""
1302.5,3,outbound,EG-D,2B,0.0246,0.00,0,—,DELAY_START,"jIdx=0"
1347.5,5,inbound,1A,1A,0.0000,0.00,0,—,SPAWN,"route=1A"
1347.5,5,inbound,1A,1A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1412.5,6,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
1412.5,6,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1447.5,7,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1447.5,4,inbound,2B,2B,1.0001,0.00,6,—,DELAY_START,"jIdx=6"
1447.5,7,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1482.5,8,inbound,1A-NORTH,1A-NORTH,0.0000,0.00,0,—,SPAWN,"route=1A-NORTH"
1482.5,8,inbound,1A-NORTH,1A-NORTH,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1492.5,4,dwell,EG-E,2B,0.1038,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1537.5,4,outbound,EG-E,2B,0.1038,0.00,0,—,OUTBOUND_START,""
1537.5,4,outbound,EG-E,2B,0.1038,0.00,0,—,DELAY_START,"jIdx=0"
1562.5,5,inbound,1A,1A,1.0001,0.00,6,—,DELAY_START,"jIdx=6"
1577.5,9,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1577.5,9,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1587.5,6,inbound,2A,2A,1.0005,0.00,5,—,DELAY_START,"jIdx=5"
1607.5,5,dwell,EG-C,1A,0.1035,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1612.5,7,inbound,2B,2B,1.0014,0.00,6,—,DELAY_START,"jIdx=6"
1627.5,6,dwell,EG-D,2A,0.0729,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
1637.5,7,dwell,EG-A,2B,0.0569,0.00,0,—,DWELL_START,"onSite=2/98 onStreet=0/22"
1652.5,10,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
1652.5,5,outbound,EG-C,1A,0.1035,0.00,0,—,OUTBOUND_START,""
1652.5,5,outbound,EG-C,1A,0.1035,0.00,0,—,DELAY_START,"jIdx=0"
1652.5,10,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1672.5,6,outbound,EG-D,2A,0.0729,0.00,0,—,OUTBOUND_START,""
1672.5,6,outbound,EG-D,2A,0.0729,0.00,0,—,DELAY_START,"jIdx=0"
1682.5,7,outbound,EG-A,2B,0.0569,0.00,0,—,OUTBOUND_START,""
1682.5,7,outbound,EG-A,2B,0.0569,0.00,0,—,DELAY_START,"jIdx=0"
1692.5,11,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1692.5,11,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1742.5,9,inbound,2B,2B,1.0000,0.00,6,—,DELAY_START,"jIdx=6"
1762.5,12,inbound,1A,1A,0.0000,0.00,0,—,SPAWN,"route=1A"
1762.5,8,inbound,1A-NORTH,1A-NORTH,1.0001,0.00,5,—,DELAY_START,"jIdx=5"
1762.5,12,inbound,1A,1A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1767.5,9,dwell,EG-A,2B,0.0569,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1792.5,13,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1792.5,8,dwell,EG-D,1A-NORTH,0.0487,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
1792.5,13,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1797.5,11,inbound,2B,2B,0.6108,0.00,3,1796.5,DELAY_START,"jIdx=3"
1812.5,9,outbound,EG-A,2B,0.0569,0.00,0,—,OUTBOUND_START,""
1812.5,9,outbound,EG-A,2B,0.0569,0.00,0,—,DELAY_START,"jIdx=0"
1827.5,10,inbound,2A,2A,1.0004,0.00,5,—,DELAY_START,"jIdx=5"
1837.5,14,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
1837.5,8,outbound,EG-D,1A-NORTH,0.0487,0.00,0,—,OUTBOUND_START,""
1837.5,8,outbound,EG-D,1A-NORTH,0.0487,0.00,0,—,DELAY_START,"jIdx=0"
1837.5,14,inbound,2A,2A,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1857.5,10,dwell,EG-C,2A,0.0587,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1867.5,11,inbound,2B,2B,1.0001,0.00,6,—,DELAY_START,"jIdx=6"
1882.5,15,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1882.5,15,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1892.5,11,dwell,EG-A,2B,0.0569,0.00,0,—,DWELL_START,"onSite=1/98 onStreet=0/22"
1902.5,10,outbound,EG-C,2A,0.0587,0.00,0,—,OUTBOUND_START,""
1902.5,10,outbound,EG-C,2A,0.0587,0.00,0,—,DELAY_START,"jIdx=0"
1927.5,16,inbound,1A-NORTH,1A-NORTH,0.0000,0.00,0,—,SPAWN,"route=1A-NORTH"
1927.5,16,inbound,1A-NORTH,1A-NORTH,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1937.5,11,outbound,EG-A,2B,0.0569,0.00,0,—,OUTBOUND_START,""
1937.5,11,outbound,EG-A,2B,0.0569,0.00,0,—,DELAY_START,"jIdx=0"
1957.5,13,inbound,2B,2B,1.0015,0.00,6,—,DELAY_START,"jIdx=6"
1962.5,17,inbound,2B,2B,0.0000,0.00,0,—,SPAWN,"route=2B"
1962.5,14,inbound,2A,2A,0.6904,0.00,3,1960.0,DELAY_START,"jIdx=3"
1962.5,17,inbound,2B,2B,0.0000,0.00,0,—,DELAY_START,"jIdx=0"
1977.5,12,inbound,1A,1A,1.0009,0.00,6,—,DELAY_START,"jIdx=6"
1982.5,13,dwell,EG-B,2B,0.0447,0.00,0,—,DWELL_START,"onSite=0/98 onStreet=0/22"
1992.5,18,inbound,2A,2A,0.0000,0.00,0,—,SPAWN,"route=2A"
